News Handle,Tweet Text,Tweets Ago,Compound Sentiment,Positive Sentiment,Negative Sentiment,Neutral Sentiment,Date
@BBCWorld,Kemerovo fire: Who are the victims in the Russia leisure centre blaze? https://t.co/tX0BjbjBtL,0,-0.5719,0.0,0.299,0.701,2018/03/27
@BBCWorld,"RT @BBC_HaveYourSay: Chicago superior? The phenomenon of the media-savvy slam-dunk nun
https://t.co/p6WqsUEDY7",1,0.5423,0.241,0.0,0.759,2018/03/27
@BBCWorld,Kemerovo fire damage seen from inside gutted mall https://t.co/O75q4RgqPx,2,-0.6808,0.0,0.444,0.556,2018/03/27
@BBCWorld,"Twenty million Indians apply for 100,000 railway jobs https://t.co/DzmNwTG5wQ",3,0.0,0.0,0.0,1.0,2018/03/27
@BBCWorld,When is a diplomat really just a spy? https://t.co/b8C7t86gI5,4,0.0,0.0,0.0,1.0,2018/03/27
@BBCWorld,Why bear cubs are spending longer with their mothers https://t.co/LabQd7LPk3,5,0.0,0.0,0.0,1.0,2018/03/27
@BBCWorld,US teen author wins Astrid Lindgren prize https://t.co/X7PfD88XPo,6,0.7906,0.538,0.0,0.462,2018/03/27
@BBCWorld,Argentine government mocked over heterosexuality tweet https://t.co/Ve8pBTidUa,7,-0.3182,0.0,0.277,0.723,2018/03/27
@BBCWorld,".@NATO is reducing the size of the Russian mission to the organisation, in a ""strong message"" to Moscow after Salis… https://t.co/VKb4QKoy1a",8,0.5106,0.148,0.0,0.852,2018/03/27
@BBCWorld,Kemerovo fire: Crowds direct fury at Putin https://t.co/kfzgKL64BQ,9,-0.7269,0.0,0.504,0.496,2018/03/27
@BBCWorld,"RT @BBCNews: ""I was on my own. Just trying to do my best""

Rob Grew - who helped in the aftermath of the Manchester Arena attack last year…",10,-0.3612,0.12,0.192,0.688,2018/03/27
@BBCWorld,"It's 50 years since the death of Yuri Gagarin, the Russian cosmonaut who was the first man to travel into space ??? https://t.co/DB917VJ2Fl",11,-0.5994,0.0,0.151,0.849,2018/03/27
@BBCWorld,"Saying goodbye to 'hell on earth'

After weeks of heavy bombardment thousands of people are being bussed from Easte… https://t.co/2hpW6mVKE2",12,-0.6808,0.0,0.195,0.805,2018/03/27
@BBCWorld,Census 2020: US adds controversial citizenship question https://t.co/NZh16MUPM5,13,-0.2023,0.0,0.205,0.795,2018/03/27
@BBCWorld,Olivia de Havilland: Acting legend loses court battle over TV drama Feud https://t.co/TjsJ9zIHPc,14,-0.743,0.0,0.422,0.578,2018/03/27
@BBCWorld,This 98-year-old sports mascot nun is captivating Americans https://t.co/C6FSNOZQqi,15,0.0,0.0,0.0,1.0,2018/03/27
@BBCWorld,Uber barred from resuming Arizona self-drive trial https://t.co/YTVM9Z0xbM,16,0.0,0.0,0.0,1.0,2018/03/27
@BBCWorld,Mai Khoi: Vietnam detains activist singer after Europe tour https://t.co/x3ls91zSMd,17,0.0,0.0,0.0,1.0,2018/03/27
@BBCWorld,Stephane Audran: French actress dies at 85 https://t.co/ojweEMIH5N,18,0.0,0.0,0.0,1.0,2018/03/27
@BBCWorld,Eurovision-style scoring or new Cold War? https://t.co/uDPu5RHrFX,19,-0.5994,0.0,0.394,0.606,2018/03/27
@BBCWorld,A mountain lion goes for a casual prowl through some homes in California. ? https://t.co/iOXBdnaXRC,20,0.2023,0.141,0.0,0.859,2018/03/27
@BBCWorld,"RT @BBCBreaking: Fire crews were ""out of the loop"" and took two hours to attend after the Manchester Arena attack, a report says https://t.…",21,-0.6705,0.0,0.208,0.792,2018/03/27
@BBCWorld,Nelson Mandela's golden hand casts sell for $10m in bitcoin https://t.co/4Pcaukiv2X,22,0.4939,0.242,0.0,0.758,2018/03/27
@BBCWorld,"RT @BBC_HaveYourSay: The debate online: Where were you for #BlackLivesMatter?
https://t.co/C8aCx0i91W",23,0.0,0.0,0.0,1.0,2018/03/27
